Date,Link,City,Title,Type,Company,Experience
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8077/link,Alba Iulia,Working Student - Support for Manufacturing,Job,Bosch Service Solutions,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8073/link,Cluj-Napoca,Junior Data Management Consultant,Job,SAP,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8072/link,București,Intern - Junior SAP Technology Support Engineer,Intern,SAP,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8071/link,"București, Cluj-Napoca",Junior Analytics Consultant (Bucharest or Cluj),Job,SAP,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8069/link,București,Virtualization Backup Engineer – Trainee with German,Trainee,Veeam Software,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8068/link,București,Internship Simulation Durabilité Châssis,Internship,Renault Group,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8067/link,București,Internship Analiza numerica automatizata,Internship,Renault Group,Fără experiență
2024-07-05 21:35:06,https://www.juniors.ro/jobs/8066/link,București,Junior Cloud Operations Engineer,Job,Wirtek Romania,0 - 1 an
Date,Link,City,Title,Type,Company,Experience
2024-07-05 21:37:27,https://www.juniors.ro/jobs/8306/link,Cluj-Napoca,Internship DevOps Engineer,Internship,Betfair Romania,Fără experiență
2024-07-05 21:37:27,https://www.juniors.ro/jobs/8305/link,Cluj-Napoca,Internship QA Engineer,Internship,Betfair Romania,Fără experiență
2024-07-05 21:37:27,https://www.juniors.ro/jobs/8304/link,Timișoara,Internship System Test Engineer,Internship,Vitesco Technologies,Fără experiență
2024-07-05 21:37:27,https://www.juniors.ro/jobs/8303/link,București,Junior HR Operations Specialist with German,Job,Deutsche Bank,0 - 1 an
2024-07-05 21:37:27,https://www.juniors.ro/jobs/8302/link,București,Working Student - R&D Central Management Office,Job,Siemens Energy,Fără experiență
2024-07-05 21:37:27,https://www.juniors.ro/jobs/8301/link,București,Working Student – Workforce Transformation & People Develo,Job,Siemens Energy,Fără experiență
2024-07-05 21:37:27,https://www.juniors.ro/jobs/8300/link,București,Working Student - IT Employee Engagement&Change Management,Job,Siemens Energy,Fără experiență
2024-07-05 21:37:27,https://www.juniors.ro/jobs/8299/link,București,Local Graduate Program – HVDC Commissioning Engineer,Job,Siemens Energy,Fără experiență
2024-07-05 21:37:27,https://www.juniors.ro/jobs/8298/link,București,App Cloud Tech Support Associate with Polish,Job,Accenture,Fără experiență
2024-07-05 21:37:27,https://www.juniors.ro/jobs/8297/link,București,App Cloud Tech Support Associate with French,Job,Accenture,Fără experiență
2024-07-05 21:37:27,https://www.juniors.ro/jobs/8296/link,Remote,Technical Associate,Job,nShift,0 - 1 an
2024-07-05 21:37:27,https://www.juniors.ro/jobs/8294/link,Slatina,Junior Data Scientist,Job,Prysmian Group,Fără experiență
2024-07-05 21:37:27,https://www.juniors.ro/jobs/8293/link,Slatina,Junior Project Management Assistant,Job,Prysmian Group,Fără experiență
2024-07-05 21:37:27,https://www.juniors.ro/jobs/8292/link,Slatina,Junior SAP Treasury,Job,Prysmian Group,Fără experiență
2024-07-05 21:37:27,https://www.juniors.ro/jobs/8291/link,București,Associate software engineer (DevOps),Job,Finastra,Fără experiență
2024-07-05 21:37:27,https://www.juniors.ro/jobs/8290/link,București,Intern for Config Tools suite,Intern,NXP Semiconductors,Fără experiență
2024-07-05 21:37:27,https://www.juniors.ro/jobs/8289/link,Cluj-Napoca,Internship - Regional IT Support Engineer,Internship,Betfair Romania,Fără experiență
2024-07-05 21:37:27,https://www.juniors.ro/jobs/8287/link,București,SAS Developer (Trainee) - Internship,Internship,Société Générale,Fără experiență
2024-07-05 21:37:27,https://www.juniors.ro/jobs/8286/link,București,Junior Data Steward,Job,Sievo,Fără experiență
2024-07-05 21:37:27,https://www.juniors.ro/jobs/8285/link,București,Junior Technical Support (French & English),Job,Concentrix,Fără experiență
2024-07-05 21:37:27,https://www.juniors.ro/jobs/8283/link,București,Junior iOS Developer,Job,Deutsche Bank,Fără experiență
2024-07-05 21:37:27,https://www.juniors.ro/jobs/8282/link,București,Junior Frontend Developer,Job,Deutsche Bank,Fără experiență
